"X","genre","loudness"
1054,"Dance",-4.762
1055,"Dance",-5.774
1056,"Dance",-4.014
1057,"Dance",-17.227
1058,"Dance",-5.367
1059,"Dance",-5.96
1060,"Dance",-5.513
1061,"Dance",-3.13
1062,"Dance",-3.602
1063,"Dance",-4.8
1064,"Dance",-6.735
1065,"Dance",-3.475
1066,"Dance",-3.685
1067,"Dance",-4.143
1068,"Dance",-5.354
1069,"Dance",-7.292
1070,"Dance",-4.815
1071,"Dance",-2.987
1072,"Dance",-5.383
1073,"Dance",-12.778
1074,"Dance",-4.276
1075,"Dance",-6.18
1076,"Dance",-4.87
1077,"Dance",-3.916
1078,"Dance",-7.963
1079,"Dance",-4.839
1080,"Dance",-7.119
1081,"Dance",-4.162
1082,"Dance",-12.621
1083,"Dance",-7.577
1084,"Dance",-8.103
1085,"Dance",-8.887
1086,"Dance",-5.721
1087,"Dance",-8.291
1088,"Dance",-4.124
1089,"Dance",-5.221
1090,"Dance",-8.874
1091,"Dance",-8.265
1092,"Dance",-4.826
1093,"Dance",-5.62
1094,"Dance",-5.644
1095,"Dance",-5.561
1096,"Dance",-4.68
1097,"Dance",-3.297
1098,"Dance",-1.772
1099,"Dance",-8.379
1100,"Dance",-5.922
1101,"Dance",-6.115
1102,"Dance",-4.284
1103,"Dance",-4.547
1104,"Dance",-6.685
1105,"Dance",-6.762
1106,"Dance",-6.706
1107,"Dance",-3.646
1108,"Dance",-6.898
1109,"Dance",-6.621
1110,"Dance",-7.273
1111,"Dance",-4.578
1112,"Dance",-4.023
1113,"Dance",-5
1114,"Dance",-2.528
1115,"Dance",-3.038
1116,"Dance",-5.825
1117,"Dance",-6.225
1118,"Dance",-6.852
1119,"Dance",-9.049
1120,"Dance",-5.942
1121,"Dance",-4.7
1122,"Dance",-6.71
1123,"Dance",-5.38
1124,"Dance",-5.95
1125,"Dance",-4.806
1126,"Dance",-7.378
1127,"Dance",-2.03
1128,"Dance",-4.99
1129,"Dance",-5.935
1130,"Dance",-7.741
1131,"Dance",-6.721
1132,"Dance",-6.019
1133,"Dance",-6.024
1134,"Dance",-8.229
1135,"Dance",-0.818
1136,"Dance",-3.594
1137,"Dance",-6.042
1138,"Dance",-4.07
1139,"Dance",-4.447
1140,"Dance",-9.35
1141,"Dance",-3.087
1142,"Dance",-4.512
1143,"Dance",-5.814
1144,"Dance",-15.492
1145,"Dance",-3.838
1146,"Dance",-4.126
1147,"Dance",-4.921
1148,"Dance",-3.238
1149,"Dance",-5.351
1150,"Dance",-4.677
